fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,2,NOVEMBER,200002,6168043,19
2015,2,NOVEMBER,200197,6167025,120
2015,2,NOVEMBER,200515,79NR0646,100
2015,2,NOVEMBER,200515,79PKCN36,200
2015,2,NOVEMBER,200633,7160145,119
2015,2,NOVEMBER,200633,7160215,119
2015,2,NOVEMBER,201089,6165001,180
2015,2,NOVEMBER,201129,7160306,240
2015,2,NOVEMBER,751650,4127011,160
2015,2,NOVEMBER,16204,5174012,75
2015,2,NOVEMBER,192801,6110023,168
2015,2,NOVEMBER,192801,6110033,30
2015,2,NOVEMBER,192801,6110129,72
2015,2,NOVEMBER,192801,6110143,172
2015,12,SEPTEMBER,751650,4120056,63
2015,12,SEPTEMBER,2810,6140002,400
2015,12,SEPTEMBER,74425,6159181,150
2015,12,SEPTEMBER,192801,6110056,144
2015,12,SEPTEMBER,192801,6110140,368
2015,12,SEPTEMBER,195736,5110065,386
2015,12,SEPTEMBER,197900,7161158,50
2015,12,SEPTEMBER,277875,70112084,672
2015,12,SEPTEMBER,294773,2115050,240
2015,12,SEPTEMBER,295230,1150060,8140
2015,12,SEPTEMBER,364514,79CN2045,150
2015,12,SEPTEMBER,370467,6160118,96
2015,12,SEPTEMBER,402059,6162021,56
2015,12,SEPTEMBER,418043,70110004,672
2015,12,SEPTEMBER,418043,75750063,240
2015,12,SEPTEMBER,471932,5140015,480
2015,12,SEPTEMBER,10913,6160463,448
2015,12,SEPTEMBER,16898,1110064,352
2015,12,SEPTEMBER,16898,1110065,4683
2015,12,SEPTEMBER,17911,70115954,672
2015,12,SEPTEMBER,187101,4130031,192
2015,12,SEPTEMBER,200002,6160477,60
2015,12,SEPTEMBER,200002,10110222,72
2015,12,SEPTEMBER,200311,2115036,26800
2015,12,SEPTEMBER,200362,6160332,324
2015,12,SEPTEMBER,200362,80807584,120
2015,12,SEPTEMBER,200515,79CN0076,5
2015,12,SEPTEMBER,200520,4140118,1440
2015,12,SEPTEMBER,200587,6167046,15
2015,12,SEPTEMBER,200633,7161003,425
2015,12,SEPTEMBER,200728,6160275,66
2015,12,SEPTEMBER,200728,6164418,216
2015,12,SEPTEMBER,201089,6165003,360
2015,12,SEPTEMBER,455075,6160315,119
2015,12,SEPTEMBER,455075,6166014,968
2015,2,NOVEMBER,192801,6110144,156
2015,2,NOVEMBER,277875,78780193,60
2015,2,NOVEMBER,341588,6110318,100
2015,2,NOVEMBER,364514,79NR7186,100
2015,2,NOVEMBER,402059,6160050,720
2015,2,NOVEMBER,418043,70110394,420
2015,2,NOVEMBER,418043,70110444,120
2015,2,NOVEMBER,418043,70127914,672
2015,2,NOVEMBER,418043,74744906,96
2015,2,NOVEMBER,454231,5172009,270
2015,2,NOVEMBER,454231,5174004,405
2015,2,NOVEMBER,17743,5130032,320
2015,2,NOVEMBER,23088,6148009,40
2015,2,NOVEMBER,31731,9110051,609
2015,2,NOVEMBER,48249,9162004,90
2015,2,NOVEMBER,49070,6136031,240
2015,2,NOVEMBER,58829,6110048,279
2015,2,NOVEMBER,76000,10117014,750
2015,2,NOVEMBER,76005,9150817,1170
2015,2,NOVEMBER,200002,5110057,460
2015,2,NOVEMBER,200002,6160462,11
2015,2,NOVEMBER,200002,6166026,45
2015,2,NOVEMBER,200002,10120008,60
2015,2,NOVEMBER,200362,6160332,324
2015,2,NOVEMBER,200362,6161054,768
2015,2,NOVEMBER,200362,6167364,700
